"date","QQQ","SP500","NASDAQ","VIX","MKTRF","SMB","HML","RMW","CMA","RF","MOM","QQQ_log_return"
2023-08-21,361.980346679688,4399.77001953125,13497.58984375,17.1299991607666,0.64,-0.88,-0.58,0.17,-0.87,0.02,0.52,0.0159829728379801
2023-08-22,361.463104248047,4387.5498046875,13505.8701171875,16.9699993133545,-0.32,-0.01,-1.05,-0.33,-0.22,0.02,0.47,-0.00142994595946178
2023-08-23,367.162841796875,4436.009765625,13721.0302734375,15.9799995422363,1.08,-0.22,-0.11,-0.38,-0.25,0.02,0.72,0.0156454868098983
2023-08-24,359.314483642578,4376.31005859375,13463.9697265625,17.2000007629395,-1.43,0.01,0.62,0.53,0.4,0.02,-0.31,-0.0216074562328386
2023-08-25,362.099700927734,4405.7099609375,13590.650390625,15.6800003051758,0.65,-0.24,-0.58,-0.36,-0.17,0.02,-0.46,0.00772158680346102
2023-08-28,364.825286865234,4433.31005859375,13705.1298828125,15.0799999237061,0.63,0.09,0.41,0.26,0.03,0.02,0.08,0.00749898202971266
2023-08-29,372.79296875,4497.6298828125,13943.759765625,14.4499998092651,1.5,-0.08,-0.11,-0.05,-0.44,0.02,0.08,0.0216046491217829
2023-08-30,374.871948242188,4514.8701171875,14019.3095703125,13.8800001144409,0.41,0.09,-0.45,-0.42,-0.03,0.02,0.35,0.00556127431719577
2023-08-31,375.996032714844,4507.66015625,14034.9697265625,13.5699996948242,-0.08,-0.19,0.21,0.06,-0.26,0.02,0.23,0.00299409574229426
2023-09-01,375.59814453125,4515.77001953125,14031.8095703125,13.0900001525879,0.26,0.84,0.59,-0.02,-0.2,0.021,0.32,-0.00105878473466081
2023-09-05,376.075592041016,4496.830078125,14020.9501953125,14.0100002288818,-0.54,-1.58,-0.85,-0.32,-0.48,0.021,-0.38,0.00127035853654345
2023-09-06,372.76318359375,4465.47998046875,13872.4697265625,14.4499998092651,-0.71,0.02,-0.18,-0.45,0.1,0.021,0.72,-0.00884684436563976
2023-09-07,370.097290039062,4451.14013671875,13748.830078125,14.3999996185303,-0.4,-0.69,0.03,-0.21,0,0.021,0.12,-0.00717740435462666
2023-09-08,370.614562988281,4457.490234375,13761.5302734375,13.8400001525879,0.12,-0.51,0.39,0.29,0.01,0.021,0.07,0.00139669165868916
2023-09-11,374.981384277344,4487.4599609375,13917.8896484375,13.8000001907349,0.66,-0.47,-0.53,-0.49,-0.34,0.021,-0.49,0.0117137740269007
2023-09-12,370.823455810547,4461.89990234375,13773.6103515625,14.2299995422363,-0.59,0.2,1.02,0.26,0.24,0.021,-0.65,-0.011150293810088
